id,name,faculty_or_school,degree_or_award,category,mode,duration_or_units,admissions_choice_name,specialisations_or_majors,source_url,source_title,evidence_confidence,notes,duplicate_name_note
nus-ug-076,Bachelor of Science (Nursing Practice),Yong Loo Lin School of Medicine / Nursing,BSc (Nursing Practice),degree_programme,part-time,part-time modular undergraduate degree for registered nurses,,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/yong-loo-lin-school-of-medicine-including-nursing/undergraduate-education/,NUS Bulletin AY2025/26 — Yong Loo Lin School of Medicine Undergraduate Education,high,Not a standard school-leaver freshman programme; included because the official undergraduate bulletin lists it.,
nus-ug-077,Bachelor of Dental Surgery,Faculty of Dentistry,Bachelor of Dental Surgery (BDS),degree_programme,full-time,four-year full-time,Dentistry,,https://www.dentistry.nus.edu.sg/ug/prospective-students/,NUS Dentistry — Prospective Students / Undergraduate,high,,
nus-ug-078,Bachelor of Music (Honours),Yong Siew Toh Conservatory of Music,Bachelor of Music (Honours),degree_programme,full-time,four-year full-time / 160 units,Music,"Violin Performance; Viola Performance; Cello Performance; Double Bass Performance; Flute Performance; Oboe Performance; Clarinet Performance; Bassoon Performance; French Horn Performance; Trumpet Performance; Trombone Performance; Tuba Performance; Percussion Performance; Harp Performance; Piano Performance; Voice; Composition; Audio Arts and Sciences; Music and Society; Music, Collaboration and Production",https://www.nus.edu.sg/nusbulletin/ay202526/programmes/yong-siew-toh-conservatory-of-music/undergraduate-education/,NUS Bulletin AY2025/26 — Yong Siew Toh Conservatory of Music Undergraduate Education,high,,
nus-ug-079,Bachelor of Technology (Chemical Engineering),School of Continuing & Lifelong Education / College of Design and Engineering,Bachelor of Technology (Chemical Engineering),degree_programme,part-time / adult learner,"flexible modular; typical BTech completion about four years, max six years",ADVANCE@NUS & Part-Time Undergraduate Degree Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-lifelong-education/undergraduate-education/,NUS Bulletin AY2025/26 — School of Continuing & Lifelong Education Undergraduate Education,high,,
nus-ug-080,Bachelor of Technology (Civil Engineering),School of Continuing & Lifelong Education / College of Design and Engineering,Bachelor of Technology (Civil Engineering),degree_programme,part-time / adult learner,"flexible modular; typical BTech completion about four years, max six years",ADVANCE@NUS & Part-Time Undergraduate Degree Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-lifelong-education/undergraduate-education/,NUS Bulletin AY2025/26 — School of Continuing & Lifelong Education Undergraduate Education,high,,
nus-ug-081,Bachelor of Technology (Electronics Engineering),School of Continuing & Lifelong Education / College of Design and Engineering,Bachelor of Technology (Electronics Engineering),degree_programme,part-time / adult learner,"flexible modular; typical BTech completion about four years, max six years",ADVANCE@NUS & Part-Time Undergraduate Degree Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-lifelong-education/undergraduate-education/,NUS Bulletin AY2025/26 — School of Continuing & Lifelong Education Undergraduate Education,high,,
nus-ug-082,Bachelor of Technology (Industrial & Management Engineering),School of Continuing & Lifelong Education / College of Design and Engineering,Bachelor of Technology (Industrial & Management Engineering),degree_programme,part-time / adult learner,"flexible modular; typical BTech completion about four years, max six years",ADVANCE@NUS & Part-Time Undergraduate Degree Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-lifelong-education/undergraduate-education/,NUS Bulletin AY2025/26 — School of Continuing & Lifelong Education Undergraduate Education,high,,
nus-ug-083,Bachelor of Technology (Mechanical Engineering),School of Continuing & Lifelong Education / College of Design and Engineering,Bachelor of Technology (Mechanical Engineering),degree_programme,part-time / adult learner,"flexible modular; typical BTech completion about four years, max six years",ADVANCE@NUS & Part-Time Undergraduate Degree Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-lifelong-education/undergraduate-education/,NUS Bulletin AY2025/26 — School of Continuing & Lifelong Education Undergraduate Education,high,,
nus-ug-084,Bachelor of Technology (Supply Chain Management),School of Continuing & Lifelong Education / College of Design and Engineering,Bachelor of Technology (Supply Chain Management),degree_programme,part-time / adult learner,"flexible modular; typical BTech completion about four years, max six years",ADVANCE@NUS & Part-Time Undergraduate Degree Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-lifelong-education/undergraduate-education/,NUS Bulletin AY2025/26 — School of Continuing & Lifelong Education Undergraduate Education,high,,
nus-ug-085,Bachelor of Information Technology,School of Continuing & Lifelong Education / School of Computing,Bachelor of Information Technology (BIT),degree_programme,part-time / adult learner,"minimum 120 units; typical completion about three years, max five years",ADVANCE@NUS & Part-Time Undergraduate Degree Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-lifelong-education/undergraduate-education/,NUS Bulletin AY2025/26 — School of Continuing & Lifelong Education Undergraduate Education,high,,
nus-special-001,NUS College,NUS College,Certificate from NUS College alongside the student’s primary NUS degree,special_programme,full-time,four-year enriched curriculum integrated with degree-bearing faculty,NUS College,,https://nus.edu.sg/oam/undergraduate-programmes,NUS Office of Admissions — Undergraduate Programmes,high,Not a standalone degree; students graduate with their NUS degree plus NUSC certificate.,
nus-special-002,Engineering Scholars Programme (E-Scholars),College of Design and Engineering,Special undergraduate programme / scholars pathway,special_programme,full-time,,Engineering Scholars Programme (E-Scholars),,https://nus.edu.sg/oam/undergraduate-programmes,NUS Office of Admissions — Undergraduate Programmes,high,,
nus-special-003,Innovation and Design Programme (iDP),College of Design and Engineering,Special undergraduate programme,special_programme,full-time,,Innovation and Design Programme (iDP),,https://nus.edu.sg/oam/undergraduate-programmes,NUS Office of Admissions — Undergraduate Programmes,high,,
nus-special-004,NUS Engineering and Medicine Track,Duke-NUS / NUS Engineering-related pathway,Special track,special_programme,full-time,,NUS Engineering and Medicine Track,,https://nus.edu.sg/oam/undergraduate-programmes,NUS Office of Admissions — Undergraduate Programmes,high,,
nus-special-005,Special Programme in Science (SPS),Faculty of Science,Special undergraduate programme,special_programme,full-time,,Special Programme in Science (SPS),,https://nus.edu.sg/oam/undergraduate-programmes,NUS Office of Admissions — Undergraduate Programmes,high,,
nus-special-006,Undergraduate Research Opportunities Programme (UROP),NUS,Research opportunity programme,special_programme,full-time,,Undergraduate Research Opportunities Programme (UROP),,https://nus.edu.sg/oam/undergraduate-programmes,NUS Office of Admissions — Undergraduate Programmes,high,,
